accuracy,fold,power,n_neighbors,weights,leaf_size
0.6143790849673203,0,1,1,uniform,10
0.5206971677559913,1,1,1,uniform,10
0.5533769063180828,2,1,1,uniform,10
0.6122004357298475,0,2,1,uniform,10
0.5228758169934641,1,2,1,uniform,10
0.5555555555555556,2,2,1,uniform,10
0.6100217864923747,0,3,1,uniform,10
0.5228758169934641,1,3,1,uniform,10
0.5555555555555556,2,3,1,uniform,10
0.6100217864923747,0,4,1,uniform,10
0.5228758169934641,1,4,1,uniform,10
0.5555555555555556,2,4,1,uniform,10
0.38344226579520696,0,1,2,uniform,10
0.3333333333333333,1,1,2,uniform,10
0.35294117647058826,2,1,2,uniform,10
0.3812636165577342,0,2,2,uniform,10
0.33769063180827885,1,2,2,uniform,10
0.35294117647058826,2,2,2,uniform,10
0.3790849673202614,0,3,2,uniform,10
0.33986928104575165,1,3,2,uniform,10
0.355119825708061,2,3,2,uniform,10
0.3790849673202614,0,4,2,uniform,10
0.33986928104575165,1,4,2,uniform,10
0.355119825708061,2,4,2,uniform,10
0.41612200435729846,0,1,5,uniform,10
0.3485838779956427,1,1,5,uniform,10
0.4008714596949891,2,1,5,uniform,10
0.4117647058823529,0,2,5,uniform,10
0.35294117647058826,1,2,5,uniform,10
0.40305010893246185,2,2,5,uniform,10
0.4095860566448802,0,3,5,uniform,10
0.35294117647058826,1,3,5,uniform,10
0.40522875816993464,2,3,5,uniform,10
0.4095860566448802,0,4,5,uniform,10
0.35294117647058826,1,4,5,uniform,10
0.40522875816993464,2,4,5,uniform,10
0.3812636165577342,0,1,10,uniform,10
0.289760348583878,1,1,10,uniform,10
0.28540305010893247,2,1,10,uniform,10
0.38562091503267976,0,2,10,uniform,10
0.2962962962962963,1,2,10,uniform,10
0.28540305010893247,2,2,10,uniform,10
0.38344226579520696,0,3,10,uniform,10
0.29411764705882354,1,3,10,uniform,10
0.28540305010893247,2,3,10,uniform,10
0.38344226579520696,0,4,10,uniform,10
0.29411764705882354,1,4,10,uniform,10
0.28540305010893247,2,4,10,uniform,10
0.3769063180827887,0,1,15,uniform,10
0.3093681917211329,1,1,15,uniform,10
0.30501089324618735,2,1,15,uniform,10
