accuracy,fold,alpha,fit_prior
0.7777777777777778,0,0.0,True
0.6884531590413944,1,0.0,True
0.7015250544662309,2,0.0,True
0.673202614379085,3,0.0,True
0.6949891067538126,4,0.0,True
0.7625272331154684,0,0.0,False
0.6579520697167756,1,0.0,False
0.6753812636165577,2,0.0,False
0.6557734204793029,3,0.0,False
0.6601307189542484,4,0.0,False
0.7864923747276689,0,0.1,True
0.7559912854030502,1,0.1,True
0.7538126361655774,2,0.1,True
0.7429193899782135,3,0.1,True
0.7603485838779956,4,0.1,True
0.775599128540305,0,0.1,False
0.6666666666666666,1,0.1,False
0.6949891067538126,2,0.1,False
0.681917211328976,3,0.1,False
0.6840958605664488,4,0.1,False
0.7734204793028322,0,0.2,True
0.7559912854030502,1,0.2,True
0.7821350762527233,2,0.2,True
0.7603485838779956,3,0.2,True
0.7625272331154684,4,0.2,True
0.7668845315904139,0,0.2,False
0.6797385620915033,1,0.2,False
0.7015250544662309,2,0.2,False
0.6884531590413944,3,0.2,False
0.6949891067538126,4,0.2,False
0.7647058823529411,0,0.4,True
0.7516339869281046,1,0.4,True
0.7625272331154684,2,0.4,True
0.7450980392156863,3,0.4,True
0.7472766884531591,4,0.4,True
0.7603485838779956,0,0.4,False
0.6884531590413944,1,0.4,False
0.7037037037037037,2,0.4,False
0.6928104575163399,3,0.4,False
0.6928104575163399,4,0.4,False
0.7581699346405228,0,0.5,True
0.7472766884531591,1,0.5,True
0.7538126361655774,2,0.5,True
0.7429193899782135,3,0.5,True
0.7363834422657952,4,0.5,True
0.7538126361655774,0,0.5,False
0.690631808278867,1,0.5,False
0.7080610021786492,2,0.5,False
0.6993464052287581,3,0.5,False
0.6949891067538126,4,0.5,False
0.7472766884531591,0,0.7,True
0.7342047930283224,1,0.7,True
0.7472766884531591,2,0.7,True
0.7298474945533769,3,0.7,True
0.7276688453159041,4,0.7,True
0.7516339869281046,0,0.7,False
0.6928104575163399,1,0.7,False
0.7037037037037037,2,0.7,False
0.6993464052287581,3,0.7,False
0.6993464052287581,4,0.7,False
0.7450980392156863,0,0.8,True
0.7189542483660131,1,0.8,True
0.738562091503268,2,0.8,True
0.7233115468409586,3,0.8,True
0.710239651416122,4,0.8,True
0.7494553376906318,0,0.8,False
0.6884531590413944,1,0.8,False
0.7037037037037037,2,0.8,False
0.7015250544662309,3,0.8,False
0.6971677559912854,4,0.8,False
0.7320261437908496,0,0.9,True
0.7037037037037037,1,0.9,True
0.7211328976034859,2,0.9,True
0.7211328976034859,3,0.9,True
0.6949891067538126,4,0.9,True
0.7494553376906318,0,0.9,False
0.6884531590413944,1,0.9,False
0.7015250544662309,2,0.9,False
0.6971677559912854,3,0.9,False
0.6949891067538126,4,0.9,False
0.7233115468409586,0,1.0,True
0.690631808278867,1,1.0,True
0.7145969498910676,2,1.0,True
0.7080610021786492,3,1.0,True
0.690631808278867,4,1.0,True
0.7450980392156863,0,1.0,False
0.6840958605664488,1,1.0,False
0.6993464052287581,2,1.0,False
0.6949891067538126,3,1.0,False
0.6949891067538126,4,1.0,False
