标题,标题链接,头像,字段1,xi2,num,字段2,字段3,new
我的华农版块专长红薯、版主申请专贴,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=246757&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2011-7-12,70,59302,Q864761261,,
本版新版规！！！新老红薯都进来看看！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=26475&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_lock.gif,2008-4-5,7,51147,Saltfish,,
请问华农有英语角嘛？或者其它一些英语协会的活动？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771583&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-10,4,1375,胖达酱,11?分钟前,
EI期刊的优势在哪里，理工科EI在哪里投稿,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778672&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2?小时前,0,16,gengbianji,2?小时前,
幸圌运飞 艇5678码个人独家心fǎ走势技巧分享与你，,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778670&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2?小时前,0,19,芯芯0008,2?小时前,
学费与电费,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772860&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-7-15,5,1065,爱渣渣,4?小时前,
各位师兄师姐，想问下华南农大英语六级多少分可以在研究生课程中免修英语？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771557&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-8,7,2777,爱渣渣,4?小时前,
农科院果树所框架结构的三房，81平，400万，看房随时,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773697&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-9-9,2,479,长长久久123,5?小时前,
招新|我们在红满堂工作室等你,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773675&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-9-6,7,674,长长久久123,5?小时前,
问一下师弟师妹，教五过去荷园饭堂那边的那间格仔铺还有开吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773631&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-9-4,5,513,长长久久123,5?小时前,
