标题,标题链接,头像,字段1,xi2,num,字段2,字段3,字段4,new,字段5,common
【常用的招聘网站及BBS、微博&职场调查集合】20140320,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=419732&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2012-9-23,148,94203,Aces123,5?天前,5?天前,,,[经验分享]
【职场2013毕业系】活动总结及资料分享——for  2014届毕业生,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=490573&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2013-7-2,43,34322,kk9528,2019-3-1 14:06,,,,[经验分享]
【2018毕业季 职场交流】 生活服务 华农学子求合作系列专贴,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772051&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2018-5-12,8,1660,jeweagle,2019-2-22 23:45,,,,[经验分享]
【15届】就业、公考、考研交流群集合贴,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=546639&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2014-3-3,68,47908,jeweagle,2019-2-22 23:38,,,,[经验分享]
红满堂16届实习&考研交流群集合帖,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=638000&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2015-4-5,79,27825,yq4344,2018-12-4 00:16,,,,[实习招聘]
【2016毕业季の职场交流】生活服务 · 华农学子求合租系列专帖,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=906365&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2016-4-21,53,16498,Lemon99,2018-11-12 15:17,,,,[经验分享]
【2013~2014年度职场经验帖汇总】（13年7月－14年6月）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=540820&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/pin_1.gif,2014-1-10,29,20728,ABIREDSTAR,2018-3-6 10:56,,,,[经验分享]
公司春季扩招  随时可做,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778674&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,半小时前,0,11,夙愿凤然,半小时前,半小时前,,半小时前,[全职招聘]
招.聘.手.机兼.职随时结.算,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778673&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,半小时前,0,12,梨儿咪,半小时前,半小时前,,半小时前,[全职招聘]
想在股市中游刃有余，与我合作，专业炒股.,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778665&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,5?小时前,0,25,长长久久123,5?小时前,5?小时前,,5?小时前,[经验分享]
聘实干人员，长期稳定待遇优渥,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778660&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,昨天?17:49,0,62,夙愿凤然,昨天?17:49,昨天?17:49,,昨天?17:49,[全职招聘]
旺季扩招，3900+/月,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778658&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,昨天?17:26,0,49,梨儿咪,昨天?17:26,昨天?17:26,,昨天?17:26,[全职招聘]
招.聘.手.机兼.职随时结.算,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778657&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,昨天?16:12,0,56,梨儿咪,昨天?16:12,昨天?16:12,,昨天?16:12,[全职招聘]
波士顿科学2019年校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777975&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-21,8,203,梨儿咪,昨天?16:12,昨天?16:12,,,[全职招聘]
P2P发展供应链金融有何优势,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778639&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,前天?12:54,1,61,喜欢电影的伪it,前天?23:14,前天?23:14,,前天?12:54,[其它]
P2P的长久发展发展离不开合规！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778636&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,3?天前,0,81,幻影德仔,3?天前,3?天前,,3?天前,[其它]
网贷发展12年，留下的平台都有哪些共同点？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778635&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,3?天前,0,88,幻影德仔,3?天前,3?天前,,3?天前,[其它]
微众银行2019年实习生招聘全面启动,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778449&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-27,4,156,vegetarianGCC,3?天前,3?天前,,,[实习招聘]
珠江水资源保护科学研究所招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778628&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,4?天前,0,83,eia333,4?天前,4?天前,,4?天前,[实习招聘]
立尚教育集团2019年校园招聘火热启动！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778626&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,4?天前,0,81,Aces123,4?天前,4?天前,,4?天前,[全职招聘]
Qualcomm 2019暑期实习生招聘信息,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778177&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-25,4,183,job2012,6?天前,6?天前,,,[实习招聘]
新 华 保 险 2019春季校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777978&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-21,8,340,job2012,6?天前,6?天前,,,[全职招聘]
飞鹤乳业2019校园招聘招聘简章,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778203&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-26,6,171,波迷鱼儿,2019-3-31 13:28,,,,[全职招聘]
中国银行数据中心2019年春季校园招聘公告,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777166&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-18,12,337,job2012,2019-3-31 12:55,,,,[全职招聘]
广东移动2019春季校园招聘网申倒计时,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777178&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-19,3,320,job2012,2019-3-30 12:34,,,,[全职招聘]
【招聘】北京三高永信知识产权代理有限责任公司武汉分公司,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778539&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-29,0,119,武汉三高,2019-3-29 16:59,,,,[全职招聘]
【校园运营（上海）】想进入人力资源行业？ 从你熟悉的校园开始！给你一条专业起跑线,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778534&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-29,0,116,ryanwong,2019-3-29 11:12,,,,[全职招聘]
中国移动南方基地2019春季校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778371&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-27,1,118,job2012,2019-3-29 10:39,,,,[全职招聘]
强生中国消费品-广州销售实习生Intern （优秀实习生有加入500强机会）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778531&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-28,0,113,zlu13@jnj,2019-3-28 21:55,,,,[实习招聘]
[制药工程]你会找到工作的，再坚持一下,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=538865&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2013-12-25,52,19247,zlu13@jnj,2019-3-28 21:45,,,,[经验分享]
往届蓝月亮销售部管培给师弟师妹们的建议。,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=593542&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-10-28,15,6442,zlu13@jnj,2019-3-28 21:41,,,,[经验分享]
急招初中或高中物理和高三地理、历史家教各2名,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778165&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-24,1,232,誉恩大石桥南,2019-3-28 19:12,,,,[实习招聘]
8千实习工资+20万奖金，全球手游大厂IGG等你来盘！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778515&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-28,0,164,beibei123,2019-3-28 10:54,,,,[其它]
【招聘】北京三高永信知识产权代理有限责任公司武汉分公司,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778460&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-27,0,189,武汉三高,2019-3-27 16:43,,,,[全职招聘]
阿里巴巴招聘android/ios实习生（可转正）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777114&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-14,4,407,hdgenius,2019-3-27 13:49,,,,[实习招聘]
寻找效果图设计人员长期合作,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778303&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-26,0,106,qqyzy,2019-3-26 18:42,,,,[其它]
