accuracy,hidden_layer_size,alpha,max_iter,solver
0.6557734204793029,"[100, 100]",0.0001,400,adam
0.5860566448801743,"[100, 100]",0.0001,400,adam
0.6427015250544662,"[100, 100]",0.0001,400,adam
0.6753812636165577,"[100, 100]",0.001,400,adam
0.5969498910675382,"[100, 100]",0.001,400,adam
0.6383442265795207,"[100, 100]",0.001,400,adam
0.6710239651416122,"[100, 100]",0.01,400,adam
0.6078431372549019,"[100, 100]",0.01,400,adam
0.6492374727668845,"[100, 100]",0.01,400,adam
0.664488017429194,"[100, 100]",0.1,400,adam
0.6209150326797386,"[100, 100]",0.1,400,adam
0.6274509803921569,"[100, 100]",0.1,400,adam
0.6514161220043573,"[100, 100]",0.3,400,adam
0.6100217864923747,"[100, 100]",0.3,400,adam
0.6405228758169934,"[100, 100]",0.3,400,adam
0.6710239651416122,"[100, 100]",0.5,400,adam
0.6143790849673203,"[100, 100]",0.5,400,adam
0.6405228758169934,"[100, 100]",0.5,400,adam
0.6274509803921569,"[100, 100]",0.6,400,adam
0.6013071895424836,"[100, 100]",0.6,400,adam
0.6078431372549019,"[100, 100]",0.6,400,adam
0.6688453159041394,"[100, 200]",0.0001,400,adam
0.6122004357298475,"[100, 200]",0.0001,400,adam
0.6383442265795207,"[100, 200]",0.0001,400,adam
0.6623093681917211,"[100, 200]",0.001,400,adam
0.6274509803921569,"[100, 200]",0.001,400,adam
0.644880174291939,"[100, 200]",0.001,400,adam
0.6862745098039216,"[100, 200]",0.01,400,adam
0.6230936819172114,"[100, 200]",0.01,400,adam
0.6601307189542484,"[100, 200]",0.01,400,adam
0.673202614379085,"[100, 200]",0.1,400,adam
0.6100217864923747,"[100, 200]",0.1,400,adam
0.6361655773420479,"[100, 200]",0.1,400,adam
0.6928104575163399,"[100, 200]",0.3,400,adam
0.6296296296296297,"[100, 200]",0.3,400,adam
0.6361655773420479,"[100, 200]",0.3,400,adam
0.6579520697167756,"[100, 200]",0.5,400,adam
0.5250544662309368,"[100, 200]",0.5,400,adam
0.6252723311546841,"[100, 200]",0.5,400,adam
0.6492374727668845,"[100, 200]",0.6,400,adam
0.6034858387799564,"[100, 200]",0.6,400,adam
0.6252723311546841,"[100, 200]",0.6,400,adam
0.681917211328976,"[100, 250]",0.0001,400,adam
